"region2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","accumulated_co2"
"Developing America",2003,1363541746.66667,530484615.666667,3619076.856,6822.53010938054,2.5700968984585,30867434931.3333
"Developing America",2004,1398401540.66667,537438598.666667,3713810.24633333,6908.63397806367,2.60171206590537,32265836472
"Developing America",2005,1440753714,544262237.666667,3871397.45366667,7110.75820919177,2.64672744807368,33706590186
"Developing America",2006,1488341556.66667,550985869,4083821.21233333,7409.55655321162,2.70071223247391,35194931742.6667
"Developing America",2007,1536694280.66667,557645034,4301796.10566667,7711.56955772299,2.75532730734547,36731626023.3333
"Developing America",2008,1579954310,564258302.333333,4519171.10333333,8006.87454789693,2.79975176178621,38311580333.3333
"Developing America",2009,1593285828,570824448.666667,4621211.101,8095.95272984237,2.79142875015263,39904866161.3333
"Developing America",2010,1632705401.33333,577312321.666667,4734462.33333333,8200.51735670958,2.827870897928,41537571562.6667
"Developing America",2011,1671961817.33333,583725574.666667,4862277.051,8327.2931898409,2.86353118072058,43209533380
"Developing America",2012,1748506742.66667,590092212,5075094.68366667,8598.9715941666,2.96264717241122,44958040122.6667
"Developing America",2013,1806010052,596430041,5243652.76633334,8790.70094606967,3.02748878486249,46764050174.6667
"Developing America",2014,1852973729.33333,602718727,5356506.32366667,8886.74368428021,3.07417692648046,48617023904
"Developing America",2015,1865273104.66667,608909327,5422894.02433334,8906.2096664429,3.0636304876742,50482297008.6667
"Developing America",2016,1842265324.66667,614977632.333333,5416373.193,8808.3728513616,2.99627366871082,52324562333.3333
"Developing America",2017,1804348224.66667,620892256.333333,5409759.192,8713.50793135332,2.90663637628036,54128910558
"Developing America",2018,1757104448.66667,626619498,5415166.461,8641.90190107258,2.80470435431122,55886015006.6667
"Developing America",2019,1727501212.66667,632100080.666667,5439609.66566667,8605.93219496081,2.73333424671113,57613516219.3333
"Developing America",2020,1657259623.33333,637181691.333333,5314122.99233334,8341.98976581642,2.60160627801788,59270775842.6667
"Developing America",2021,1660311010.66667,641682806.666667,5294456.26,8251.34912190707,2.58753085655312,60931086853.3333
"Developing America",2022,1675308759.33333,645764184.333333,5352512.13833334,8287.0921673669,2.59375009789866,62606395612.6667
"Developing Asia",1972,1544364006,1820472733,1261305.428,692.303408871347,0.847505064378388,3000730194
"Developing Asia",1973,1672498280,1863344972.66667,1362865.76633333,730.802064514249,0.896977076925287,4673228474
"Developing Asia",1974,1759025260,1906091981.66667,1459898.21366667,765.37967723678,0.92253546605217,6432253734
"Developing Asia",1975,1868814912,1948535942.33333,1536025.083,788.137736361254,0.95861877277093,8301068646
"Developing Asia",1976,1985603521.33333,1990052516,1615457.00733333,811.456276538596,0.996962376376252,10286672167.3333
"Developing Asia",1977,2143691988.66667,2030714366.33333,1702004.84833333,837.595883980523,1.05492961882629,12430364156
"Developing Asia",1978,2306720886.66667,2070900023.66667,1798382.875,868.124854542418,1.11306876533063,14737085042.6667
"Developing Asia",1979,2455235109.33333,2111457393,1884959.75033333,892.47088546085,1.1622344910477,17192320152
"Developing Asia",1980,2543995058,2153162451.33333,1961640.98633333,910.760456620442,1.18158269152242,19736315210
"Developing Asia",1981,2565073089,2196548163.33333,2037215.809,927.326308593028,1.16819789675328,22301388299
"Developing Asia",1982,2603503647.33333,2241848042.66667,2084874.68066667,930.027458665499,1.16123670342782,24904891946.3333
"Developing Asia",1983,2705706316.33333,2288537621.66667,2134952.44266667,932.867769655644,1.1816518101792,27610598262.6667
"Developing Asia",1984,2873147232.66667,2336141866.33333,2206402.08633333,944.150233050442,1.22918281934483,30483745495.3333
"Developing Asia",1985,3070717303.66667,2384412080.33333,2304622.705,966.192314466451,1.2869895448474,33554462799
"Developing Asia",1986,3273876312.66667,2433788800.33333,2417489.51566667,992.962241670938,1.34434563386091,36828339111.6667
"Developing Asia",1987,3485545476,2484907346,2546814.62366667,1024.39447718064,1.40198736749207,40313884587.6667
"Developing Asia",1988,3714996718,2537381496.33333,2712807.11833333,1068.41948411932,1.46316168535928,44028881305.6667
"Developing Asia",1989,3931218540.66667,2590650346.33333,2882001.23633333,1111.87459227627,1.5167162753484,47960099846.3333
"Developing Asia",1990,4114001740.66667,2648877384.33333,3063734.29,1156.04042932524,1.55292703440523,52074101587
"Developing Asia",1991,4291510649.33333,2706834644.66667,3234072.97933333,1194.13636262862,1.58493420452943,56365612236.3333
"Developing Asia",1992,4672511258,2786919408.66667,3514918.04733333,1259.58536571241,1.67367252771973,61038123494.3333
"Developing Asia",1993,5116484320.66667,2860993099,3820843.853,1333.6407933614,1.78556916823104,66154607815
"Developing Asia",1994,5560628410,2933653408,4170181.234,1420.65452862813,1.89472665266009,71715236225
"Developing Asia",1995,5840427906.66667,2982321332,4468810.42566667,1497.58443950748,1.95770649563819,77555664131.6667
"Developing Asia",1996,6104832746.66667,3030332771.66667,4797166.21266667,1582.12690479806,2.0140150938331,83660496878.3333
"Developing Asia",1997,6297896365.33333,3078063882.33333,5129768.19533333,1665.67348194631,2.04585870409501,89958393243.6667
"Developing Asia",1998,6369421816,3125492800.66667,5441377.041,1740.31982565266,2.03825564648609,96327815059.6667
"Developing Asia",1999,6479019352,3172489017.33333,5741598.67366667,1809.16505262679,2.04214188108593,102806834411.667
"Developing Asia",2000,6668224959.33333,3219250049.33333,6074054.78733333,1885.93443926261,2.07065064992647,109475059371
"Developing Asia",2001,6935625408,3265867892,6430238.96833333,1968.12052775499,2.12331613887554,116410684779
"Developing Asia",2002,7242249411.33333,3311933551,6812417.49766667,2056.1723799355,2.18613892332643,123652934190.333
"Developing Asia",2003,7874560977.33333,3432473470,7396128.10433333,2151.34925479563,2.28931672246054,131527495167.667
"Developing Asia",2004,8678566795.33333,3553290358.66667,8115386.73566667,2279.763820952,2.43735532365852,140206061963
"Developing Asia",2005,9592896002.66667,3674930124,8952415.635,2434.5996485636,2.60894017222426,149798957965.667
"Developing Asia",2006,10366021424,3722476009.66667,9761099.30566667,2620.54646210012,2.78310462742078,160164979389.667
"Developing Asia",2007,11131044860.6667,3770143944,10694111.538,2834.55290425038,2.95107065468889,171296024250.333
