"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"COG","CG",2011,5163333.33333333,4451077.66666667,10162.7613333333,"Africa","developing","Africa",2281.97035947647,1.16066637110506,93146203.3333333
"COG","CG",2012,5188600,4604154.66666667,10904.817,"Africa","developing","Africa",2367.15429816987,1.12870787492042,98334803.3333333
"COG","CG",2013,5319400,4735757.66666667,11305.956,"Africa","developing","Africa",2386.59708081304,1.1222421924267,103654203.333333
"COG","CG",2014,5460466.66666667,4857809.66666667,11887.672,"Africa","developing","Africa",2446.94717813966,1.12373997055421,109114670
"COG","CG",2015,5665066.66666667,4976853.33333333,12134.0903333333,"Africa","developing","Africa",2437.71780988146,1.13914899343058,114779736.666667
"COG","CG",2016,5610733.33333333,5098665.66666667,12048.5356666667,"Africa","developing","Africa",2365.61760606763,1.10044984092752,120390470
"COG","CG",2017,5671333.33333333,5223709.33333333,11494.3376666667,"Africa","developing","Africa",2203.93668641019,1.08608791368666,126061803.333333
"COG","CG",2018,5975200,5352221.66666667,10840.7393333333,"Africa","developing","Africa",2027.60490576163,1.11560553740267,132037003.333333
"COG","CG",2019,6495500,5483596.66666667,10586.09,"Africa","developing","Africa",1931.45029567861,1.18258076470176,138532503.333333
"COG","CG",2020,7075533.33333333,5617523.33333333,10321.948,"Africa","developing","Africa",1838.93338534589,1.25882000979385,145608036.666667
"COG","CG",2021,7312533.33333333,5753878.33333333,10189.786,"Africa","developing","Africa",1772.33718204147,1.27141982995039,152920570
"COG","CG",2022,7359766.66666667,5893359.33333333,10077.1286666667,"Africa","developing","Africa",1710.12594254391,1.24924831594564,160280336.666667
"COK","CK",1972,10992,20709,99.9943333333333,"Asia and Oceania","developing","Developing Asia",4831.3438126422,0.530816094935138,21984
"COK","CK",1973,10992,20609,93.4896666666667,"Asia and Oceania","developing","Developing Asia",4536.07509158125,0.5334736597068,32976
"COK","CK",1974,10992,20172,91.021,"Asia and Oceania","developing","Developing Asia",4517.15471182238,0.545242456817077,43968
"COK","CK",1975,12213.3333333333,19547.3333333333,92.094,"Asia and Oceania","developing","Developing Asia",4714.56444961833,0.62737213782125,56181.3333333333
"COK","CK",1976,13434.6666666667,18900.6666666667,89.7743333333333,"Asia and Oceania","developing","Developing Asia",4748.75817908017,0.713597017782726,69616
"COK","CK",1977,19541.3333333333,18351.3333333333,92.594,"Asia and Oceania","developing","Developing Asia",5051.74927009405,1.07179932639852,89157.3333333333
"COK","CK",1978,24426.6666666667,18002.3333333333,98.8096666666667,"Asia and Oceania","developing","Developing Asia",5494.74088364042,1.36066831512252,113584
"COK","CK",1979,28090.6666666667,17845.6666666667,108.707666666667,"Asia and Oceania","developing","Developing Asia",6092.51450597365,1.57384346718016,141674.666666667
"COK","CK",1980,28090.6666666667,17774.6666666667,113.783666666667,"Asia and Oceania","developing","Developing Asia",6402.02872237533,1.58040958337767,169765.333333333
"COK","CK",1981,40304,17693.3333333333,114.209666666667,"Asia and Oceania","developing","Developing Asia",6454.75464266469,2.28173878697628,210069.333333333
"COK","CK",1982,48853.3333333333,17591,114.205333333333,"Asia and Oceania","developing","Developing Asia",6492.27413854135,2.77953329146387,258922.666666667
"COK","CK",1983,56181.3333333333,17451.6666666667,113.824,"Asia and Oceania","developing","Developing Asia",6523.2893004737,3.21698808705653,315104
"COK","CK",1984,41525.3333333333,17271,120.977,"Asia and Oceania","developing","Developing Asia",7009.55833518277,2.3977192009134,356629.333333333
"COK","CK",1985,31754.6666666667,17058,130.981,"Asia and Oceania","developing","Developing Asia",7686.92171796832,1.85439192433071,388384
"COK","CK",1986,21984,16832.3333333333,144.684666666667,"Asia and Oceania","developing","Developing Asia",8603.09137376275,1.30622108838928,410368
"COK","CK",1987,21984,16670.6666666667,151.735,"Asia and Oceania","developing","Developing Asia",9104.36115661109,1.31878542818623,432352
"COK","CK",1988,21984,16644.3333333333,155.819666666667,"Asia and Oceania","developing","Developing Asia",9361.68446947404,1.32083840592883,454336
"COK","CK",1989,21984,16754,158.311666666667,"Asia and Oceania","developing","Developing Asia",9447.82411329905,1.31226134807719,476320
"COK","CK",1990,29312,16934.6666666667,165.926666666667,"Asia and Oceania","developing","Developing Asia",9794.52653278755,1.72630450627695,505632
"COK","CK",1991,36640,17120,176.822333333333,"Asia and Oceania","developing","Developing Asia",10323.7371623354,2.13561744797625,542272
"COK","CK",1992,43968,17300,189.139333333333,"Asia and Oceania","developing","Developing Asia",10928.9714373299,2.54167775393798,586240
"COK","CK",1993,45189.3333333333,17457,199.727666666667,"Asia and Oceania","developing","Developing Asia",11438.6402604731,2.58818574770639,631429.333333333
"COK","CK",1994,46410.6666666667,17583.6666666667,208.835333333333,"Asia and Oceania","developing","Developing Asia",11875.0918749711,2.63904091315317,677840
"COK","CK",1995,47632,17687,211.005,"Asia and Oceania","developing","Developing Asia",11930.2890234128,2.69310321670167,725472
"COK","CK",1996,48853.3333333333,17775,210.378333333333,"Asia and Oceania","developing","Developing Asia",11836.7138012836,2.74816070674148,774325.333333333
"COK","CK",1997,50074.6666666667,17752.6666666667,205.407,"Asia and Oceania","developing","Developing Asia",11570.1440161035,2.82088067879583,824400
"COK","CK",1998,50074.6666666667,17518.6666666667,203.079333333333,"Asia and Oceania","developing","Developing Asia",11593.6696188103,2.857583213182,874474.666666667
"COK","CK",1999,50074.6666666667,17061.3333333333,202.732,"Asia and Oceania","developing","Developing Asia",11894.0115391103,2.93729457781369,924549.333333333
"COK","CK",2000,50074.6666666667,16472,213.521,"Asia and Oceania","developing","Developing Asia",13000.5982783726,3.0455003567877,974624
