Member,GDP_2015,votes,GDP_2015_share,votes_share
"Korea, Rep.",1764955.272,87279,1.9325690424237647,1.7313648024261603
Kosovo,NA,2278,NA,0.04518898039536192
Kuwait,114045.95,20787,0.12487663335176494,0.4123544053899861
Kyrgyz Republic,8563.259,3228,0.009376492145834211,0.06403425316779117
Lao PDR,21327.178,2510,0.023352571376132402,0.04979119437768148
Latvia,30928.803,4775,0.03386604076900554,0.09472229209299964
Lebanon,31093.945,7787,0.03404686592750505,0.15447172534621742
Lesotho,2213.019,2150,0.00242318435914199,0.04264982785339251
Liberia,2987.928,4036,0.0032716846967163,0.08006265358897309
Libya,49580.815,17184,0.05428939174110687,0.34088122875939386
Liechtenstein,7080.056,2452,0.007752432745064277,0.04864064088210159
Lithuania,52201.393,5868,0.0571588400474755,0.11640427434591034
Luxembourg,70995.513,14670,0.07773779469171384,0.29101068586477585
Madagascar,13883.898,3896,0.015202420077515266,0.07728545549619405
Malawi,11597.123,2840,0.012698475279537064,0.05633744702494638
Malaysia,400991.293,37790,0.43907252009572584,0.7496451137580012
Maldives,6233.991,1664,0.006826018884714472,0.03300898304560239
Mali,19868.488,3318,0.021755352918976442,0.0658195947988634
Malta,17552.464,3135,0.019219381410282902,0.06218940014901652
Marshall Islands,227.22,1501,2.48798564352246e-4,0.02977553098043821
Mauritania,8246.362,2740,0.00902950016164473,0.05435373410153277
Mauritius,13797.958,2874,0.015108318552031456,0.057011909418907006
Mexico,1328703.228,90579,1.4548871383531157,1.7968273288988095
"Micronesia, Fed. Sts.",320.591,1524,3.5103679493112797e-4,0.03023178495282334
Moldova,8971.546,3177,0.009823553229557852,0.06302255957685024
Mongolia,15430.527,2175,0.01689592890061865,0.04314575608424591
Montenegro,5126.393,2057,0.005613234832784981,0.040804974834617855
Morocco,139855.706,10396,0.1531374829208247,0.20622679551807838
Mozambique,20181.023,3724,0.022097568653990214,0.07387346926792265
Myanmar,80226.331,6620,0.08784524239084626,0.13132179552998063
Namibia,11500.786,3363,0.012592989374713535,0.06671226561439954
Nauru,114.489,1480,1.2536175879818807e-4,0.02935895126652135
Nepal,32772.761,3021,0.03588511524803836,0.05992796741632501
Netherlands,896474.104,88817,0.9816102018051495,1.7618743071882614
New Zealand,222212.317,13973,0.24331531313698698,0.277184206788583
Nicaragua,15211.479,4052,0.016656078412438775,0.08038004765671927
Niger,14800.957,2768,0.016206570075870636,0.054909173720088585
Nigeria,549649.666,25997,0.6018486391932554,0.5157058486998348
North Macedonia,11633.705,2855,0.012738531388511337,0.05663500396345842
Norway,437895.702,38999,0.47948165651623503,0.7736282030020718
Oman,87385.129,6896,0.09568389508377703,0.1367968431986022
Pakistan,409375.704,21762,0.44825317945554977,0.43169560639326865
Palau,212.826,1501,2.3303759905303714e-4,0.02977553098043821
Panama,74569.713,5220,0.08165142830102551,0.10354981460219018
Papua New Guinea,25858.429,4084,0.028314144932684113,0.08101483579221162
