"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"KAZ","KZ",2005,187417466.666667,15531627.6666667,97907.5473333333,"Asia and Oceania","developing","Developing Asia",6301.02041252452,12.0632868253074,2158491600
"KAZ","KZ",2006,202324133.333333,15666973,107729.515333333,"Asia and Oceania","developing","Developing Asia",6872.35571675887,12.907818712481,2360815733.33333
"KAZ","KZ",2007,215787133.333333,15828377.3333333,118217.771333333,"Asia and Oceania","developing","Developing Asia",7464.21532267094,13.627866627332,2576602866.66667
"KAZ","KZ",2008,224716800,16008467,126964.029666667,"Asia and Oceania","developing","Developing Asia",7928.1871609208,14.0371297187654,2801319666.66667
"KAZ","KZ",2009,226041800,16201674,132427.312,"Asia and Oceania","developing","Developing Asia",8173.02930263234,13.9537043383804,3027361466.66667
"KAZ","KZ",2010,233394633.333333,16408907.6666667,137640.232,"Asia and Oceania","developing","Developing Asia",8386.04113857881,14.2193515298208,3260756100
"KAZ","KZ",2011,237446866.666667,16631707.6666667,145732.993666667,"Asia and Oceania","developing","Developing Asia",8757.16900718098,14.2746103919755,3498202966.66667
"KAZ","KZ",2012,244712066.666667,16865206,155792.309333333,"Asia and Oceania","developing","Developing Asia",9233.03644657146,14.5124997747312,3742915033.33333
"KAZ","KZ",2013,246832633.333333,17104504.3333333,165865.986666667,"Asia and Oceania","developing","Developing Asia",9693.73855052121,14.4283253572403,3989747666.66667
"KAZ","KZ",2014,258599966.666667,17346964.6666667,174100.590666667,"Asia and Oceania","developing","Developing Asia",10033.0415988498,14.9019133097994,4248347633.33333
"KAZ","KZ",2015,269371966.666667,17591313,180532.005333333,"Asia and Oceania","developing","Developing Asia",10261.3852818283,15.3085350748412,4517719600
"KAZ","KZ",2016,276882233.333333,17835586.6666667,184359.079333333,"Asia and Oceania","developing","Developing Asia",10336.8173441504,15.5251935496247,4794601833.33333
"KAZ","KZ",2017,283277833.333333,18076425.3333333,189974.236333333,"Asia and Oceania","developing","Developing Asia",10507.1534377187,15.6693704076581,5077879666.66667
"KAZ","KZ",2018,292782100,18310488.6666667,197610.519666667,"Asia and Oceania","developing","Developing Asia",10788.5483315436,15.9847939173944,5370661766.66667
"KAZ","KZ",2019,291980133.333333,18535723.6666667,207714.467,"Asia and Oceania","developing","Developing Asia",11203.472824373,15.7575553903553,5662641900
"KAZ","KZ",2020,279316800,18757200,211768.835333333,"Asia and Oceania","developing","Developing Asia",11290.2167717969,14.9033448648428,5941958700
