Year,Commodity,Commodity Label,Index Base 2015,Index Base 2015 Footnote,Index Base 2015 Missing value,Growth rate (over previous period),Growth rate (over previous period) Footnote,Growth rate (over previous period) Missing value
2005,IN0001.24,"All groups excl. precious metals and fuels",76.84,,,14.9611,,
2006,IN0001.20,"All groups",113.25,,,15.2789,,
2006,IN0001.01,"All food",75.86,,,11.1991,,
2006,IN0001.02,"Food",80.71,,,17.5845,,
2006,IN0001.03,"Tropical beverages",69.79,,,8.2016,,
2006,IN0001.04,"Vegetable oilseeds and oils",70.87,,,1.8101,,
2006,IN0001.06,"Agricultural raw materials",103.47,,,19.9513,,
2006,IN0001.07,"Minerals, ores and metals",86.31,,,42.4728,,
2006,IN0001.08,"Minerals, ores and non-precious metals",124.45,,,45.8114,,
2006,IN0001.09,"Precious metals",56.17,,,37,,
2006,IN0001.10,"Fuels",131.08,,,10.803,,
2006,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2006,IN0001.05,"Tropical beverages and food",78.02,,,15.3801,,
2006,IN0001.22,"All groups excl. fuels",84.33,,,28.3171,,
2006,IN0001.23,"All groups excl. precious metals",120.92,,,14.1509,,
2006,IN0001.24,"All groups excl. precious metals and fuels",97.02,,,26.2624,,
2007,IN0001.20,"All groups",125.11,,,10.4724,,
2007,IN0001.01,"All food",85.73,,,13.0108,,
2007,IN0001.02,"Food",78.1,,,-3.2338,,
2007,IN0001.03,"Tropical beverages",76.19,,,9.1704,,
2007,IN0001.04,"Vegetable oilseeds and oils",104.43,,,47.3543,,
2007,IN0001.06,"Agricultural raw materials",114.74,,,10.892,,
2007,IN0001.07,"Minerals, ores and metals",97.78,,,13.2893,,
2007,IN0001.08,"Minerals, ores and non-precious metals",139.59,,,12.1655,,
2007,IN0001.09,"Precious metals",64.74,,,15.2573,,
2007,IN0001.10,"Fuels",143.53,,,9.498,,
2007,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2007,IN0001.05,"Tropical beverages and food",77.63,,,-0.4999,,
2007,IN0001.22,"All groups excl. fuels",95.23,,,12.9254,,
2007,IN0001.23,"All groups excl. precious metals",133.22,,,10.172,,
2007,IN0001.24,"All groups excl. precious metals and fuels",108.96,,,12.3067,,
2008,IN0001.20,"All groups",166.93,,,33.4266,,
2008,IN0001.01,"All food",113.7,,,32.6257,,
2008,IN0001.02,"Food",105.36,,,34.904,,
2008,IN0001.03,"Tropical beverages",90.85,,,19.2414,,
2008,IN0001.04,"Vegetable oilseeds and oils",141.21,,,35.2198,,
2008,IN0001.06,"Agricultural raw materials",124.34,,,8.3667,,
2008,IN0001.07,"Minerals, ores and metals",117.04,,,19.6973,,
2008,IN0001.08,"Minerals, ores and non-precious metals",164.04,,,17.5156,,
2008,IN0001.09,"Precious metals",79.91,,,23.4322,,
2008,IN0001.10,"Fuels",197.97,,,37.9294,,
2008,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2008,IN0001.05,"Tropical beverages and food",101.78,,,31.1091,,
2008,IN0001.22,"All groups excl. fuels",116.59,,,22.4299,,
2008,IN0001.23,"All groups excl. precious metals",178.62,,,34.079,,
2008,IN0001.24,"All groups excl. precious metals and fuels",133.1,,,22.1549,,
2009,IN0001.20,"All groups",114.16,,,-31.6121,,
2009,IN0001.01,"All food",101.83,,,-10.4398,,
2009,IN0001.02,"Food",102.02,,,-3.1701,,
2009,IN0001.03,"Tropical beverages",91.84,,,1.0897,,
2009,IN0001.04,"Vegetable oilseeds and oils",107.18,,,-24.0989,,
2009,IN0001.06,"Agricultural raw materials",103.99,,,-16.3664,,
2009,IN0001.07,"Minerals, ores and metals",102,,,-12.8503,,
2009,IN0001.08,"Minerals, ores and non-precious metals",122.36,,,-25.4084,,
2009,IN0001.09,"Precious metals",85.92,,,7.521,,
2009,IN0001.10,"Fuels",121.57,,,-38.5917,,
2009,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2009,IN0001.05,"Tropical beverages and food",99.51,,,-2.2303,,
2009,IN0001.22,"All groups excl. fuels",102.13,,,-12.4024,,
2009,IN0001.23,"All groups excl. precious metals",117.95,,,-33.966,,
2009,IN0001.24,"All groups excl. precious metals and fuels",109.44,,,-17.7761,,
2010,IN0001.20,"All groups",141.87,,,24.273,,
2010,IN0001.01,"All food",114.04,,,11.9906,,
2010,IN0001.02,"Food",111.33,,,9.1257,,
2010,IN0001.03,"Tropical beverages",110.01,,,19.7844,,
2010,IN0001.04,"Vegetable oilseeds and oils",121.06,,,12.9502,,
2010,IN0001.06,"Agricultural raw materials",142.44,,,36.9747,,
2010,IN0001.07,"Minerals, ores and metals",136.28,,,33.6078,,
2010,IN0001.08,"Minerals, ores and non-precious metals",170.09,,,39.0078,,
2010,IN0001.09,"Precious metals",109.56,,,27.514,,
2010,IN0001.10,"Fuels",149.71,,,23.1472,,
2010,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2010,IN0001.05,"Tropical beverages and food",111.01,,,11.5566,,
2010,IN0001.22,"All groups excl. fuels",129.15,,,26.4565,,
2010,IN0001.23,"All groups excl. precious metals",146.21,,,23.9593,,
2010,IN0001.24,"All groups excl. precious metals and fuels",137.97,,,26.0691,,
2011,IN0001.20,"All groups",182.38,,,28.5543,,
2011,IN0001.01,"All food",141.37,,,23.9653,,
2011,IN0001.02,"Food",134.85,,,21.1264,,
2011,IN0001.03,"Tropical beverages",144.36,,,31.2244,,
2011,IN0001.04,"Vegetable oilseeds and oils",151.03,,,24.7563,,
2011,IN0001.06,"Agricultural raw materials",177.4,,,24.5437,,
2011,IN0001.07,"Minerals, ores and metals",164.26,,,20.5313,,
2011,IN0001.08,"Minerals, ores and non-precious metals",190.85,,,12.2053,,
2011,IN0001.09,"Precious metals",143.25,,,30.7503,,
2011,IN0001.10,"Fuels",197.68,,,32.0419,,
2011,IN0001.31,"Selected groups",,,"No value reported or collected",,,"No value reported or collected"
2011,IN0001.05,"Tropical beverages and food",137.19,,,23.5835,,
2011,IN0001.22,"All groups excl. fuels",157.58,,,22.0132,,
2011,IN0001.23,"All groups excl. precious metals",187.64,,,28.336,,
2011,IN0001.24,"All groups excl. precious metals and fuels",164.03,,,18.8882,,
2012,IN0001.20,"All groups",176.88,,,-3.0157,,
2012,IN0001.01,"All food",132.2,,,-6.4865,,
2012,IN0001.02,"Food",127.36,,,-5.5543,,
